encoding,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,spike_sparsity_pct_mean,spike_sparsity_pct_std,energy_ratio_mean,energy_ratio_std,energy_savings_pct_mean,energy_savings_pct_std,semantic_preservation_score
poisson_rate,0.18,,0.15716374269005848,,24.54148530960083,,4538.158194617522,,99.97796462888434,,0.9967379570007324
latency,0.26,,0.08253968253968254,,98.00260663032532,,250495.25143280637,,99.99960079083564,,0.9997105598449707
temporal,0.22,,0.14666666666666667,,98.00000190734863,,250165.01828476784,,99.99960026385509,,0.9997517466545105
population,0.24,,0.11902834008097166,,44.23766732215881,,1257.3503078614717,,99.92046766969017,,0.9996830224990845
binary_threshold,0.18,,0.131203007518797,,75.4549503326416,,17873.816820633554,,99.99440522407701,,0.5234825611114502
